title,s_img,scrible,author,publisher,pub_date,price,score,num
看不见的城市(Le città invisibili),https://img1.doubanio.com/view/subject/s/public/s8972088.jpg,无,[意] 伊塔洛·卡尔维诺,译林出版社,2012-04-01,25.0,9.0,38677
一间只属于自己的房间(A Room of One's Own),https://img1.doubanio.com/view/subject/s/public/s34848979.jpg,无,[英] 弗吉尼亚·伍尔夫,天津人民出版社,2019-10-01,45.0,9.2,32413
桶川跟踪狂杀人事件(桶川ストーカー殺人事件),https://img9.doubanio.com/view/subject/s/public/s34072986.jpg,无,[日] 清水洁,四川人民出版社,2021-02-01,45.0,9.0,51188
受戒(无),https://img3.doubanio.com/view/subject/s/public/s3628082.jpg,江南乡镇民间生活，健康淳朴的人性,汪曾祺,漓江出版社,1987-10-01,3.95,9.4,27945
失明症漫记(Ensaio sobre a Cegueira),https://img1.doubanio.com/view/subject/s/public/s27217828.jpg,失明症迅速蔓延，整个城市陷入一场空前的灾难,[葡] 若泽·萨拉马戈,南海出版公司,2014-02-01,29.5,9.1,40109
筚路维艰(无),https://img1.doubanio.com/view/subject/s/public/s33986279.jpg,无,萧冬连,社会科学文献出版社,2014-10-01,45.0,9.5,18033
我们仨(无),https://img3.doubanio.com/view/subject/s/public/s1015872.jpg,家庭生活回忆录,杨绛,生活·读书·新知三联书店,2003-07-01,18.8,8.8,314015
爱你就像爱生命(无),https://img3.doubanio.com/view/subject/s/public/s4661043.jpg,王小波与李银河的两地书,李银河,上海锦绣文章出版社,2008-05-01,18.0,8.8,116671
人生的枷锁(Of Human Bondage),https://img1.doubanio.com/view/subject/s/public/s3983958.jpg,在混沌纷扰的生活漩流中，寻求人生的真谛,[英] 毛姆,上海译文出版社,2007-03-01,32.0,9.1,31790
浪潮之巅(无),https://img9.doubanio.com/view/subject/s/public/s6807265.jpg,了解IT领域的入门读物,吴军,电子工业出版社,2011-08-01,55.0,9.0,34088
叫魂(Soulstealers: The Chinese Sorcery Scare of 1768),https://img3.doubanio.com/view/subject/s/public/s28118682.jpg,无,[美] 孔飞力,孔飞力著作集,2014-06-01,38.0,9.2,32548
离开的，留下的(Storia di chi fugge e di chi resta),https://img2.doubanio.com/view/subject/s/public/s29535271.jpg,探索中年的虚无、困惑、野心和近乎残暴的爱,[意] 埃莱娜·费兰特,人民文学出版社,2017-10-01,62.0,8.9,78916
